method	path	tree	basis	tags	operationId
PATCH	/api/v1/additional-privilege/identity	ee	source	Identity Specific Privileges	
DELETE	/api/v1/additional-privilege/identity	ee	source	Identity Specific Privileges	
GET	/api/v1/additional-privilege/identity	ee	source	Identity Specific Privileges	
POST	/api/v1/additional-privilege/identity/permanent	ee	source	Identity Specific Privileges	
POST	/api/v1/additional-privilege/identity/temporary	ee	source	Identity Specific Privileges	
GET	/api/v1/additional-privilege/identity/{privilegeSlug}	ee	source	Identity Specific Privileges	
POST	/api/v1/admin/bootstrap	core	source		
GET	/api/v1/app-connections	core	source	App Connections	listAppConnections
GET	/api/v1/app-connections/1password	core	source	App Connections	listOnePasswordAppConnections
POST	/api/v1/app-connections/1password	core	source	App Connections	createOnePasswordAppConnection
GET	/api/v1/app-connections/1password/available	core	source	App Connections	listOnePasswordAvailableAppConnections
GET	/api/v1/app-connections/1password/connection-name/{connectionName}	core	source	App Connections	getOnePasswordAppConnectionByName
GET	/api/v1/app-connections/1password/{connectionId}	core	source	App Connections	getOnePasswordAppConnection
PATCH	/api/v1/app-connections/1password/{connectionId}	core	source	App Connections	updateOnePasswordAppConnection
DELETE	/api/v1/app-connections/1password/{connectionId}	core	source	App Connections	deleteOnePasswordAppConnection
POST	/api/v1/app-connections/1password/{connectionId}/rotate-credentials	core	source	App Connections	rotateOnePasswordAppConnectionCredentials
GET	/api/v1/app-connections/adcs	core	source	App Connections	listAdcsAppConnections
POST	/api/v1/app-connections/adcs	core	source	App Connections	createAdcsAppConnection
GET	/api/v1/app-connections/adcs/available	core	source	App Connections	listAdcsAvailableAppConnections
GET	/api/v1/app-connections/adcs/connection-name/{connectionName}	core	source	App Connections	getAdcsAppConnectionByName
GET	/api/v1/app-connections/adcs/{connectionId}	core	source	App Connections	getAdcsAppConnection
PATCH	/api/v1/app-connections/adcs/{connectionId}	core	source	App Connections	updateAdcsAppConnection
DELETE	/api/v1/app-connections/adcs/{connectionId}	core	source	App Connections	deleteAdcsAppConnection
POST	/api/v1/app-connections/adcs/{connectionId}/rotate-credentials	core	source	App Connections	rotateAdcsAppConnectionCredentials
GET	/api/v1/app-connections/anthropic	core	source	App Connections	listAnthropicAppConnections
POST	/api/v1/app-connections/anthropic	core	source	App Connections	createAnthropicAppConnection
GET	/api/v1/app-connections/anthropic/available	core	source	App Connections	listAnthropicAvailableAppConnections
GET	/api/v1/app-connections/anthropic/connection-name/{connectionName}	core	source	App Connections	getAnthropicAppConnectionByName
GET	/api/v1/app-connections/anthropic/{connectionId}	core	source	App Connections	getAnthropicAppConnection
PATCH	/api/v1/app-connections/anthropic/{connectionId}	core	source	App Connections	updateAnthropicAppConnection
DELETE	/api/v1/app-connections/anthropic/{connectionId}	core	source	App Connections	deleteAnthropicAppConnection
POST	/api/v1/app-connections/anthropic/{connectionId}/rotate-credentials	core	source	App Connections	rotateAnthropicAppConnectionCredentials
GET	/api/v1/app-connections/auth0	core	source	App Connections	listAuth0AppConnections
POST	/api/v1/app-connections/auth0	core	source	App Connections	createAuth0AppConnection
GET	/api/v1/app-connections/auth0/available	core	source	App Connections	listAuth0AvailableAppConnections
GET	/api/v1/app-connections/auth0/connection-name/{connectionName}	core	source	App Connections	getAuth0AppConnectionByName
GET	/api/v1/app-connections/auth0/{connectionId}	core	source	App Connections	getAuth0AppConnection
PATCH	/api/v1/app-connections/auth0/{connectionId}	core	source	App Connections	updateAuth0AppConnection
DELETE	/api/v1/app-connections/auth0/{connectionId}	core	source	App Connections	deleteAuth0AppConnection
POST	/api/v1/app-connections/auth0/{connectionId}/rotate-credentials	core	source	App Connections	rotateAuth0AppConnectionCredentials
GET	/api/v1/app-connections/aws	core	source	App Connections	listAwsAppConnections
POST	/api/v1/app-connections/aws	core	source	App Connections	createAwsAppConnection
GET	/api/v1/app-connections/aws/available	core	source	App Connections	listAwsAvailableAppConnections
GET	/api/v1/app-connections/aws/connection-name/{connectionName}	core	source	App Connections	getAwsAppConnectionByName
GET	/api/v1/app-connections/aws/{connectionId}	core	source	App Connections	getAwsAppConnection
PATCH	/api/v1/app-connections/aws/{connectionId}	core	source	App Connections	updateAwsAppConnection
DELETE	/api/v1/app-connections/aws/{connectionId}	core	source	App Connections	deleteAwsAppConnection
POST	/api/v1/app-connections/aws/{connectionId}/rotate-credentials	core	source	App Connections	rotateAwsAppConnectionCredentials
GET	/api/v1/app-connections/azure-adcs	core	source	App Connections	listAzureAdcsAppConnections
POST	/api/v1/app-connections/azure-adcs	core	source	App Connections	createAzureAdcsAppConnection
GET	/api/v1/app-connections/azure-adcs/available	core	source	App Connections	listAzureAdcsAvailableAppConnections
GET	/api/v1/app-connections/azure-adcs/connection-name/{connectionName}	core	source	App Connections	getAzureAdcsAppConnectionByName
GET	/api/v1/app-connections/azure-adcs/{connectionId}	core	source	App Connections	getAzureAdcsAppConnection
PATCH	/api/v1/app-connections/azure-adcs/{connectionId}	core	source	App Connections	updateAzureAdcsAppConnection
DELETE	/api/v1/app-connections/azure-adcs/{connectionId}	core	source	App Connections	deleteAzureAdcsAppConnection
POST	/api/v1/app-connections/azure-adcs/{connectionId}/rotate-credentials	core	source	App Connections	rotateAzureAdcsAppConnectionCredentials
GET	/api/v1/app-connections/azure-app-configuration	core	source	App Connections	listAzureAppConfigurationAppConnections
POST	/api/v1/app-connections/azure-app-configuration	core	source	App Connections	createAzureAppConfigurationAppConnection
GET	/api/v1/app-connections/azure-app-configuration/available	core	source	App Connections	listAzureAppConfigurationAvailableAppConnections
GET	/api/v1/app-connections/azure-app-configuration/connection-name/{connectionName}	core	source	App Connections	getAzureAppConfigurationAppConnectionByName
GET	/api/v1/app-connections/azure-app-configuration/{connectionId}	core	source	App Connections	getAzureAppConfigurationAppConnection
PATCH	/api/v1/app-connections/azure-app-configuration/{connectionId}	core	source	App Connections	updateAzureAppConfigurationAppConnection
DELETE	/api/v1/app-connections/azure-app-configuration/{connectionId}	core	source	App Connections	deleteAzureAppConfigurationAppConnection
POST	/api/v1/app-connections/azure-app-configuration/{connectionId}/rotate-credentials	core	source	App Connections	rotateAzureAppConfigurationAppConnectionCredentials
GET	/api/v1/app-connections/azure-client-secrets	core	source	App Connections	listAzureClientSecretsAppConnections
POST	/api/v1/app-connections/azure-client-secrets	core	source	App Connections	createAzureClientSecretsAppConnection
GET	/api/v1/app-connections/azure-client-secrets/available	core	source	App Connections	listAzureClientSecretsAvailableAppConnections
GET	/api/v1/app-connections/azure-client-secrets/connection-name/{connectionName}	core	source	App Connections	getAzureClientSecretsAppConnectionByName
GET	/api/v1/app-connections/azure-client-secrets/{connectionId}	core	source	App Connections	getAzureClientSecretsAppConnection
PATCH	/api/v1/app-connections/azure-client-secrets/{connectionId}	core	source	App Connections	updateAzureClientSecretsAppConnection
DELETE	/api/v1/app-connections/azure-client-secrets/{connectionId}	core	source	App Connections	deleteAzureClientSecretsAppConnection
POST	/api/v1/app-connections/azure-client-secrets/{connectionId}/rotate-credentials	core	source	App Connections	rotateAzureClientSecretsAppConnectionCredentials
GET	/api/v1/app-connections/azure-devops	core	source	App Connections	listAzureDevopsAppConnections
POST	/api/v1/app-connections/azure-devops	core	source	App Connections	createAzureDevopsAppConnection
GET	/api/v1/app-connections/azure-devops/available	core	source	App Connections	listAzureDevopsAvailableAppConnections
GET	/api/v1/app-connections/azure-devops/connection-name/{connectionName}	core	source	App Connections	getAzureDevopsAppConnectionByName
GET	/api/v1/app-connections/azure-devops/{connectionId}	core	source	App Connections	getAzureDevopsAppConnection
PATCH	/api/v1/app-connections/azure-devops/{connectionId}	core	source	App Connections	updateAzureDevopsAppConnection
DELETE	/api/v1/app-connections/azure-devops/{connectionId}	core	source	App Connections	deleteAzureDevopsAppConnection
POST	/api/v1/app-connections/azure-devops/{connectionId}/rotate-credentials	core	source	App Connections	rotateAzureDevopsAppConnectionCredentials
GET	/api/v1/app-connections/azure-dns	core	source	App Connections	listAzureDnsAppConnections
POST	/api/v1/app-connections/azure-dns	core	source	App Connections	createAzureDnsAppConnection
GET	/api/v1/app-connections/azure-dns/available	core	source	App Connections	listAzureDnsAvailableAppConnections
GET	/api/v1/app-connections/azure-dns/connection-name/{connectionName}	core	source	App Connections	getAzureDnsAppConnectionByName
GET	/api/v1/app-connections/azure-dns/{connectionId}	core	source	App Connections	getAzureDnsAppConnection
PATCH	/api/v1/app-connections/azure-dns/{connectionId}	core	source	App Connections	updateAzureDnsAppConnection
DELETE	/api/v1/app-connections/azure-dns/{connectionId}	core	source	App Connections	deleteAzureDnsAppConnection
POST	/api/v1/app-connections/azure-dns/{connectionId}/rotate-credentials	core	source	App Connections	rotateAzureDnsAppConnectionCredentials
GET	/api/v1/app-connections/azure-entra-id	core	source	App Connections	listAzureEntraIdAppConnections
POST	/api/v1/app-connections/azure-entra-id	core	source	App Connections	createAzureEntraIdAppConnection
GET	/api/v1/app-connections/azure-entra-id/available	core	source	App Connections	listAzureEntraIdAvailableAppConnections
GET	/api/v1/app-connections/azure-entra-id/connection-name/{connectionName}	core	source	App Connections	getAzureEntraIdAppConnectionByName
GET	/api/v1/app-connections/azure-entra-id/{connectionId}	core	source	App Connections	getAzureEntraIdAppConnection
PATCH	/api/v1/app-connections/azure-entra-id/{connectionId}	core	source	App Connections	updateAzureEntraIdAppConnection
DELETE	/api/v1/app-connections/azure-entra-id/{connectionId}	core	source	App Connections	deleteAzureEntraIdAppConnection
POST	/api/v1/app-connections/azure-entra-id/{connectionId}/rotate-credentials	core	source	App Connections	rotateAzureEntraIdAppConnectionCredentials
GET	/api/v1/app-connections/azure-key-vault	core	source	App Connections	listAzureKeyVaultAppConnections
POST	/api/v1/app-connections/azure-key-vault	core	source	App Connections	createAzureKeyVaultAppConnection
GET	/api/v1/app-connections/azure-key-vault/available	core	source	App Connections	listAzureKeyVaultAvailableAppConnections
GET	/api/v1/app-connections/azure-key-vault/connection-name/{connectionName}	core	source	App Connections	getAzureKeyVaultAppConnectionByName
GET	/api/v1/app-connections/azure-key-vault/{connectionId}	core	source	App Connections	getAzureKeyVaultAppConnection
PATCH	/api/v1/app-connections/azure-key-vault/{connectionId}	core	source	App Connections	updateAzureKeyVaultAppConnection
DELETE	/api/v1/app-connections/azure-key-vault/{connectionId}	core	source	App Connections	deleteAzureKeyVaultAppConnection
POST	/api/v1/app-connections/azure-key-vault/{connectionId}/rotate-credentials	core	source	App Connections	rotateAzureKeyVaultAppConnectionCredentials
GET	/api/v1/app-connections/bitbucket	core	source	App Connections	listBitbucketAppConnections
POST	/api/v1/app-connections/bitbucket	core	source	App Connections	createBitbucketAppConnection
GET	/api/v1/app-connections/bitbucket/available	core	source	App Connections	listBitbucketAvailableAppConnections
GET	/api/v1/app-connections/bitbucket/connection-name/{connectionName}	core	source	App Connections	getBitbucketAppConnectionByName
GET	/api/v1/app-connections/bitbucket/{connectionId}	core	source	App Connections	getBitbucketAppConnection
PATCH	/api/v1/app-connections/bitbucket/{connectionId}	core	source	App Connections	updateBitbucketAppConnection
DELETE	/api/v1/app-connections/bitbucket/{connectionId}	core	source	App Connections	deleteBitbucketAppConnection
POST	/api/v1/app-connections/bitbucket/{connectionId}/rotate-credentials	core	source	App Connections	rotateBitbucketAppConnectionCredentials
GET	/api/v1/app-connections/camunda	core	source	App Connections	listCamundaAppConnections
POST	/api/v1/app-connections/camunda	core	source	App Connections	createCamundaAppConnection
GET	/api/v1/app-connections/camunda/available	core	source	App Connections	listCamundaAvailableAppConnections
GET	/api/v1/app-connections/camunda/connection-name/{connectionName}	core	source	App Connections	getCamundaAppConnectionByName
GET	/api/v1/app-connections/camunda/{connectionId}	core	source	App Connections	getCamundaAppConnection
PATCH	/api/v1/app-connections/camunda/{connectionId}	core	source	App Connections	updateCamundaAppConnection
DELETE	/api/v1/app-connections/camunda/{connectionId}	core	source	App Connections	deleteCamundaAppConnection
POST	/api/v1/app-connections/camunda/{connectionId}/rotate-credentials	core	source	App Connections	rotateCamundaAppConnectionCredentials
GET	/api/v1/app-connections/checkly	core	source	App Connections	listChecklyAppConnections
POST	/api/v1/app-connections/checkly	core	source	App Connections	createChecklyAppConnection
GET	/api/v1/app-connections/checkly/available	core	source	App Connections	listChecklyAvailableAppConnections
GET	/api/v1/app-connections/checkly/connection-name/{connectionName}	core	source	App Connections	getChecklyAppConnectionByName
GET	/api/v1/app-connections/checkly/{connectionId}	core	source	App Connections	getChecklyAppConnection
PATCH	/api/v1/app-connections/checkly/{connectionId}	core	source	App Connections	updateChecklyAppConnection
DELETE	/api/v1/app-connections/checkly/{connectionId}	core	source	App Connections	deleteChecklyAppConnection
POST	/api/v1/app-connections/checkly/{connectionId}/rotate-credentials	core	source	App Connections	rotateChecklyAppConnectionCredentials
GET	/api/v1/app-connections/chef	ee	source	App Connections	listChefAppConnections
POST	/api/v1/app-connections/chef	ee	source	App Connections	createChefAppConnection
GET	/api/v1/app-connections/chef/available	ee	source	App Connections	listChefAvailableAppConnections
GET	/api/v1/app-connections/chef/connection-name/{connectionName}	ee	source	App Connections	getChefAppConnectionByName
GET	/api/v1/app-connections/chef/{connectionId}	ee	source	App Connections	getChefAppConnection
PATCH	/api/v1/app-connections/chef/{connectionId}	ee	source	App Connections	updateChefAppConnection
DELETE	/api/v1/app-connections/chef/{connectionId}	ee	source	App Connections	deleteChefAppConnection
POST	/api/v1/app-connections/chef/{connectionId}/rotate-credentials	ee	source	App Connections	rotateChefAppConnectionCredentials
GET	/api/v1/app-connections/circleci	core	source	App Connections	listCircleciAppConnections
POST	/api/v1/app-connections/circleci	core	source	App Connections	createCircleciAppConnection
GET	/api/v1/app-connections/circleci/available	core	source	App Connections	listCircleciAvailableAppConnections
GET	/api/v1/app-connections/circleci/connection-name/{connectionName}	core	source	App Connections	getCircleciAppConnectionByName
GET	/api/v1/app-connections/circleci/{connectionId}	core	source	App Connections	getCircleciAppConnection
PATCH	/api/v1/app-connections/circleci/{connectionId}	core	source	App Connections	updateCircleciAppConnection
DELETE	/api/v1/app-connections/circleci/{connectionId}	core	source	App Connections	deleteCircleciAppConnection
POST	/api/v1/app-connections/circleci/{connectionId}/rotate-credentials	core	source	App Connections	rotateCircleciAppConnectionCredentials
GET	/api/v1/app-connections/cloud-66	core	source	App Connections	listCloud66AppConnections
POST	/api/v1/app-connections/cloud-66	core	source	App Connections	createCloud66AppConnection
GET	/api/v1/app-connections/cloud-66/available	core	source	App Connections	listCloud66AvailableAppConnections
GET	/api/v1/app-connections/cloud-66/connection-name/{connectionName}	core	source	App Connections	getCloud66AppConnectionByName
GET	/api/v1/app-connections/cloud-66/{connectionId}	core	source	App Connections	getCloud66AppConnection
PATCH	/api/v1/app-connections/cloud-66/{connectionId}	core	source	App Connections	updateCloud66AppConnection
DELETE	/api/v1/app-connections/cloud-66/{connectionId}	core	source	App Connections	deleteCloud66AppConnection
POST	/api/v1/app-connections/cloud-66/{connectionId}/rotate-credentials	core	source	App Connections	rotateCloud66AppConnectionCredentials
GET	/api/v1/app-connections/cloudflare	core	source	App Connections	listCloudflareAppConnections
POST	/api/v1/app-connections/cloudflare	core	source	App Connections	createCloudflareAppConnection
GET	/api/v1/app-connections/cloudflare/available	core	source	App Connections	listCloudflareAvailableAppConnections
GET	/api/v1/app-connections/cloudflare/connection-name/{connectionName}	core	source	App Connections	getCloudflareAppConnectionByName
GET	/api/v1/app-connections/cloudflare/{connectionId}	core	source	App Connections	getCloudflareAppConnection
PATCH	/api/v1/app-connections/cloudflare/{connectionId}	core	source	App Connections	updateCloudflareAppConnection
DELETE	/api/v1/app-connections/cloudflare/{connectionId}	core	source	App Connections	deleteCloudflareAppConnection
POST	/api/v1/app-connections/cloudflare/{connectionId}/rotate-credentials	core	source	App Connections	rotateCloudflareAppConnectionCredentials
GET	/api/v1/app-connections/convex	core	source	App Connections	listConvexAppConnections
POST	/api/v1/app-connections/convex	core	source	App Connections	createConvexAppConnection
GET	/api/v1/app-connections/convex/available	core	source	App Connections	listConvexAvailableAppConnections
GET	/api/v1/app-connections/convex/connection-name/{connectionName}	core	source	App Connections	getConvexAppConnectionByName
GET	/api/v1/app-connections/convex/{connectionId}	core	source	App Connections	getConvexAppConnection
PATCH	/api/v1/app-connections/convex/{connectionId}	core	source	App Connections	updateConvexAppConnection
DELETE	/api/v1/app-connections/convex/{connectionId}	core	source	App Connections	deleteConvexAppConnection
POST	/api/v1/app-connections/convex/{connectionId}/rotate-credentials	core	source	App Connections	rotateConvexAppConnectionCredentials
GET	/api/v1/app-connections/databricks	core	source	App Connections	listDatabricksAppConnections
POST	/api/v1/app-connections/databricks	core	source	App Connections	createDatabricksAppConnection
GET	/api/v1/app-connections/databricks/available	core	source	App Connections	listDatabricksAvailableAppConnections
GET	/api/v1/app-connections/databricks/connection-name/{connectionName}	core	source	App Connections	getDatabricksAppConnectionByName
GET	/api/v1/app-connections/databricks/{connectionId}	core	source	App Connections	getDatabricksAppConnection
PATCH	/api/v1/app-connections/databricks/{connectionId}	core	source	App Connections	updateDatabricksAppConnection
DELETE	/api/v1/app-connections/databricks/{connectionId}	core	source	App Connections	deleteDatabricksAppConnection
POST	/api/v1/app-connections/databricks/{connectionId}/rotate-credentials	core	source	App Connections	rotateDatabricksAppConnectionCredentials
GET	/api/v1/app-connections/datadog	core	source	App Connections	listDatadogAppConnections
POST	/api/v1/app-connections/datadog	core	source	App Connections	createDatadogAppConnection
GET	/api/v1/app-connections/datadog/available	core	source	App Connections	listDatadogAvailableAppConnections
GET	/api/v1/app-connections/datadog/connection-name/{connectionName}	core	source	App Connections	getDatadogAppConnectionByName
GET	/api/v1/app-connections/datadog/{connectionId}	core	source	App Connections	getDatadogAppConnection
PATCH	/api/v1/app-connections/datadog/{connectionId}	core	source	App Connections	updateDatadogAppConnection
DELETE	/api/v1/app-connections/datadog/{connectionId}	core	source	App Connections	deleteDatadogAppConnection
POST	/api/v1/app-connections/datadog/{connectionId}/rotate-credentials	core	source	App Connections	rotateDatadogAppConnectionCredentials
GET	/api/v1/app-connections/dbt	core	source	App Connections	listDbtAppConnections
POST	/api/v1/app-connections/dbt	core	source	App Connections	createDbtAppConnection
GET	/api/v1/app-connections/dbt/available	core	source	App Connections	listDbtAvailableAppConnections
GET	/api/v1/app-connections/dbt/connection-name/{connectionName}	core	source	App Connections	getDbtAppConnectionByName
GET	/api/v1/app-connections/dbt/{connectionId}	core	source	App Connections	getDbtAppConnection
PATCH	/api/v1/app-connections/dbt/{connectionId}	core	source	App Connections	updateDbtAppConnection
DELETE	/api/v1/app-connections/dbt/{connectionId}	core	source	App Connections	deleteDbtAppConnection
POST	/api/v1/app-connections/dbt/{connectionId}/rotate-credentials	core	source	App Connections	rotateDbtAppConnectionCredentials
GET	/api/v1/app-connections/devin	core	source	App Connections	listDevinAppConnections
POST	/api/v1/app-connections/devin	core	source	App Connections	createDevinAppConnection
GET	/api/v1/app-connections/devin/available	core	source	App Connections	listDevinAvailableAppConnections
GET	/api/v1/app-connections/devin/connection-name/{connectionName}	core	source	App Connections	getDevinAppConnectionByName
GET	/api/v1/app-connections/devin/{connectionId}	core	source	App Connections	getDevinAppConnection
PATCH	/api/v1/app-connections/devin/{connectionId}	core	source	App Connections	updateDevinAppConnection
DELETE	/api/v1/app-connections/devin/{connectionId}	core	source	App Connections	deleteDevinAppConnection
POST	/api/v1/app-connections/devin/{connectionId}/rotate-credentials	core	source	App Connections	rotateDevinAppConnectionCredentials
GET	/api/v1/app-connections/digicert	core	source	App Connections	listDigicertAppConnections
POST	/api/v1/app-connections/digicert	core	source	App Connections	createDigicertAppConnection
GET	/api/v1/app-connections/digicert/available	core	source	App Connections	listDigicertAvailableAppConnections
GET	/api/v1/app-connections/digicert/connection-name/{connectionName}	core	source	App Connections	getDigicertAppConnectionByName
GET	/api/v1/app-connections/digicert/{connectionId}	core	source	App Connections	getDigicertAppConnection
PATCH	/api/v1/app-connections/digicert/{connectionId}	core	source	App Connections	updateDigicertAppConnection
DELETE	/api/v1/app-connections/digicert/{connectionId}	core	source	App Connections	deleteDigicertAppConnection
POST	/api/v1/app-connections/digicert/{connectionId}/rotate-credentials	core	source	App Connections	rotateDigicertAppConnectionCredentials
GET	/api/v1/app-connections/digital-ocean	core	source	App Connections	listDigitalOceanAppConnections
POST	/api/v1/app-connections/digital-ocean	core	source	App Connections	createDigitalOceanAppConnection
GET	/api/v1/app-connections/digital-ocean/available	core	source	App Connections	listDigitalOceanAvailableAppConnections
GET	/api/v1/app-connections/digital-ocean/connection-name/{connectionName}	core	source	App Connections	getDigitalOceanAppConnectionByName
GET	/api/v1/app-connections/digital-ocean/{connectionId}	core	source	App Connections	getDigitalOceanAppConnection
PATCH	/api/v1/app-connections/digital-ocean/{connectionId}	core	source	App Connections	updateDigitalOceanAppConnection
DELETE	/api/v1/app-connections/digital-ocean/{connectionId}	core	source	App Connections	deleteDigitalOceanAppConnection
POST	/api/v1/app-connections/digital-ocean/{connectionId}/rotate-credentials	core	source	App Connections	rotateDigitalOceanAppConnectionCredentials
GET	/api/v1/app-connections/dns-made-easy	core	source	App Connections	listDnsMadeEasyAppConnections
POST	/api/v1/app-connections/dns-made-easy	core	source	App Connections	createDnsMadeEasyAppConnection
GET	/api/v1/app-connections/dns-made-easy/available	core	source	App Connections	listDnsMadeEasyAvailableAppConnections
GET	/api/v1/app-connections/dns-made-easy/connection-name/{connectionName}	core	source	App Connections	getDnsMadeEasyAppConnectionByName
GET	/api/v1/app-connections/dns-made-easy/{connectionId}	core	source	App Connections	getDnsMadeEasyAppConnection
PATCH	/api/v1/app-connections/dns-made-easy/{connectionId}	core	source	App Connections	updateDnsMadeEasyAppConnection
DELETE	/api/v1/app-connections/dns-made-easy/{connectionId}	core	source	App Connections	deleteDnsMadeEasyAppConnection
POST	/api/v1/app-connections/dns-made-easy/{connectionId}/rotate-credentials	core	source	App Connections	rotateDnsMadeEasyAppConnectionCredentials
GET	/api/v1/app-connections/doppler	core	source	App Connections	listDopplerAppConnections
POST	/api/v1/app-connections/doppler	core	source	App Connections	createDopplerAppConnection
GET	/api/v1/app-connections/doppler/available	core	source	App Connections	listDopplerAvailableAppConnections
GET	/api/v1/app-connections/doppler/connection-name/{connectionName}	core	source	App Connections	getDopplerAppConnectionByName
GET	/api/v1/app-connections/doppler/{connectionId}	core	source	App Connections	getDopplerAppConnection
PATCH	/api/v1/app-connections/doppler/{connectionId}	core	source	App Connections	updateDopplerAppConnection
DELETE	/api/v1/app-connections/doppler/{connectionId}	core	source	App Connections	deleteDopplerAppConnection
POST	/api/v1/app-connections/doppler/{connectionId}/rotate-credentials	core	source	App Connections	rotateDopplerAppConnectionCredentials
GET	/api/v1/app-connections/external-infisical	core	source	App Connections	listExternalInfisicalAppConnections
POST	/api/v1/app-connections/external-infisical	core	source	App Connections	createExternalInfisicalAppConnection
GET	/api/v1/app-connections/external-infisical/available	core	source	App Connections	listExternalInfisicalAvailableAppConnections
GET	/api/v1/app-connections/external-infisical/connection-name/{connectionName}	core	source	App Connections	getExternalInfisicalAppConnectionByName
GET	/api/v1/app-connections/external-infisical/{connectionId}	core	source	App Connections	getExternalInfisicalAppConnection
PATCH	/api/v1/app-connections/external-infisical/{connectionId}	core	source	App Connections	updateExternalInfisicalAppConnection
DELETE	/api/v1/app-connections/external-infisical/{connectionId}	core	source	App Connections	deleteExternalInfisicalAppConnection
POST	/api/v1/app-connections/external-infisical/{connectionId}/rotate-credentials	core	source	App Connections	rotateExternalInfisicalAppConnectionCredentials
GET	/api/v1/app-connections/f5-big-ip	core	source	App Connections	listF5BigIpAppConnections
POST	/api/v1/app-connections/f5-big-ip	core	source	App Connections	createF5BigIpAppConnection
GET	/api/v1/app-connections/f5-big-ip/available	core	source	App Connections	listF5BigIpAvailableAppConnections
GET	/api/v1/app-connections/f5-big-ip/connection-name/{connectionName}	core	source	App Connections	getF5BigIpAppConnectionByName
GET	/api/v1/app-connections/f5-big-ip/{connectionId}	core	source	App Connections	getF5BigIpAppConnection
PATCH	/api/v1/app-connections/f5-big-ip/{connectionId}	core	source	App Connections	updateF5BigIpAppConnection
DELETE	/api/v1/app-connections/f5-big-ip/{connectionId}	core	source	App Connections	deleteF5BigIpAppConnection
POST	/api/v1/app-connections/f5-big-ip/{connectionId}/rotate-credentials	core	source	App Connections	rotateF5BigIpAppConnectionCredentials
GET	/api/v1/app-connections/fireworks	core	source	App Connections	listFireworksAppConnections
POST	/api/v1/app-connections/fireworks	core	source	App Connections	createFireworksAppConnection
GET	/api/v1/app-connections/fireworks/available	core	source	App Connections	listFireworksAvailableAppConnections
GET	/api/v1/app-connections/fireworks/connection-name/{connectionName}	core	source	App Connections	getFireworksAppConnectionByName
GET	/api/v1/app-connections/fireworks/{connectionId}	core	source	App Connections	getFireworksAppConnection
PATCH	/api/v1/app-connections/fireworks/{connectionId}	core	source	App Connections	updateFireworksAppConnection
DELETE	/api/v1/app-connections/fireworks/{connectionId}	core	source	App Connections	deleteFireworksAppConnection
POST	/api/v1/app-connections/fireworks/{connectionId}/rotate-credentials	core	source	App Connections	rotateFireworksAppConnectionCredentials
GET	/api/v1/app-connections/flyio	core	source	App Connections	listFlyioAppConnections
POST	/api/v1/app-connections/flyio	core	source	App Connections	createFlyioAppConnection
GET	/api/v1/app-connections/flyio/available	core	source	App Connections	listFlyioAvailableAppConnections
GET	/api/v1/app-connections/flyio/connection-name/{connectionName}	core	source	App Connections	getFlyioAppConnectionByName
GET	/api/v1/app-connections/flyio/{connectionId}	core	source	App Connections	getFlyioAppConnection
PATCH	/api/v1/app-connections/flyio/{connectionId}	core	source	App Connections	updateFlyioAppConnection
DELETE	/api/v1/app-connections/flyio/{connectionId}	core	source	App Connections	deleteFlyioAppConnection
POST	/api/v1/app-connections/flyio/{connectionId}/rotate-credentials	core	source	App Connections	rotateFlyioAppConnectionCredentials
GET	/api/v1/app-connections/gcp	core	source	App Connections	listGcpAppConnections
POST	/api/v1/app-connections/gcp	core	source	App Connections	createGcpAppConnection
GET	/api/v1/app-connections/gcp/available	core	source	App Connections	listGcpAvailableAppConnections
GET	/api/v1/app-connections/gcp/connection-name/{connectionName}	core	source	App Connections	getGcpAppConnectionByName
GET	/api/v1/app-connections/gcp/{connectionId}	core	source	App Connections	getGcpAppConnection
PATCH	/api/v1/app-connections/gcp/{connectionId}	core	source	App Connections	updateGcpAppConnection
DELETE	/api/v1/app-connections/gcp/{connectionId}	core	source	App Connections	deleteGcpAppConnection
POST	/api/v1/app-connections/gcp/{connectionId}/rotate-credentials	core	source	App Connections	rotateGcpAppConnectionCredentials
GET	/api/v1/app-connections/github	core	source	App Connections	listGitHubAppConnections
POST	/api/v1/app-connections/github	core	source	App Connections	createGitHubAppConnection
GET	/api/v1/app-connections/github-radar	core	source	App Connections	listGitHubRadarAppConnections
POST	/api/v1/app-connections/github-radar	core	source	App Connections	createGitHubRadarAppConnection
GET	/api/v1/app-connections/github-radar/available	core	source	App Connections	listGitHubRadarAvailableAppConnections
GET	/api/v1/app-connections/github-radar/connection-name/{connectionName}	core	source	App Connections	getGitHubRadarAppConnectionByName
GET	/api/v1/app-connections/github-radar/{connectionId}	core	source	App Connections	getGitHubRadarAppConnection
PATCH	/api/v1/app-connections/github-radar/{connectionId}	core	source	App Connections	updateGitHubRadarAppConnection
DELETE	/api/v1/app-connections/github-radar/{connectionId}	core	source	App Connections	deleteGitHubRadarAppConnection
POST	/api/v1/app-connections/github-radar/{connectionId}/rotate-credentials	core	source	App Connections	rotateGitHubRadarAppConnectionCredentials
GET	/api/v1/app-connections/github/available	core	source	App Connections	listGitHubAvailableAppConnections
GET	/api/v1/app-connections/github/connection-name/{connectionName}	core	source	App Connections	getGitHubAppConnectionByName
GET	/api/v1/app-connections/github/{connectionId}	core	source	App Connections	getGitHubAppConnection
